Type,"Country Code","Series Code","Description"
Country-Series,"Dominican Republic (DOM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Algeria (DZA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Ecuador (ECU)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Egypt, Arab Rep. (EGY)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Eritrea (ERI)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Spain (ESP)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Estonia (EST)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Ethiopia (ETH)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Finland (FIN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Fiji (FJI)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"France (FRA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Faroe Islands (FRO)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Micronesia, Fed. Sts. (FSM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Gabon (GAB)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"United Kingdom (GBR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Georgia (GEO)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Ghana (GHA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Guinea (GIN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Gambia, The (GMB)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Guinea-Bissau (GNB)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Equatorial Guinea (GNQ)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Greece (GRC)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Grenada (GRD)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Greenland (GRL)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Guatemala (GTM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Guam (GUM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Guyana (GUY)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Hong Kong SAR, China (HKG)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Honduras (HND)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Croatia (HRV)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Haiti (HTI)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Hungary (HUN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Indonesia (IDN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Isle of Man (IMN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"India (IND)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Ireland (IRL)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Iran, Islamic Rep. (IRN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Iraq (IRQ)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Iceland (ISL)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Israel (ISR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Italy (ITA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Jamaica (JAM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Jordan (JOR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Japan (JPN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
